site, x, y, z
252,-2.59808,4.5,0
253,2.59808,-3.5,0
254,2.59808,-3.5,1
255,2.59808,-2.5,1
256,2.59808,-2.5,2
257,2.59808,-1.5,2
258,-2.59808,1.5,-3
259,2.59808,-0.5,3
260,-2.59808,2.5,-2
261,-2.59808,3.5,-2
262,-2.59808,3.5,-1
263,-2.59808,4.5,-1
264,3.4641,-3,0
265,3.4641,-2,0
266,3.4641,-2,1
267,3.4641,-1,1
268,3.4641,-1,2
269,3.4641,0,2
270,3.4641,0,3
271,3.4641,1,3
272,-1.73205,4,-2
273,3.4641,-4,-2
274,3.4641,-4,-1
275,3.4641,-3,-1
276,4.33013,-1.5,0
277,4.33013,-0.5,0
278,4.33013,-0.5,1
279,4.33013,0.5,1
280,4.33013,0.5,2
281,4.33013,1.5,2
282,-0.866025,4.5,-3
283,4.33013,2.5,3
284,-0.866025,5.5,-2
285,4.33013,-2.5,-2
286,4.33013,-2.5,-1
287,4.33013,-1.5,-1
288,-3.4641,0,0
289,-3.4641,1,0
290,-3.4641,1,1
291,-3.4641,2,1
292,-3.4641,2,2
293,-3.4641,3,2
294,-3.4641,-3,-3
295,-3.4641,-2,-3
296,-3.4641,-2,-2
297,-3.4641,-1,-2
298,-3.4641,-1,-1
299,-3.4641,0,-1
300,-2.59808,1.5,0
301,-2.59808,2.5,0
302,-2.59808,2.5,1
303,-2.59808,3.5,1
304,-2.59808,3.5,2
305,-2.59808,-1.5,-4
306,-2.59808,-1.5,-3
307,-2.59808,-0.5,-3
308,-2.59808,-0.5,-2
309,-2.59808,0.5,-2
310,-2.59808,0.5,-1
311,-2.59808,1.5,-1
312,-1.73205,3,0
313,-1.73205,4,0
314,-1.73205,4,1
315,3.4641,-4,1
316,-1.73205,-1,-4
317,-1.73205,0,-4
318,-1.73205,0,-3
319,-1.73205,1,-3
320,-1.73205,1,-2
321,-1.73205,2,-2
322,-1.73205,2,-1
323,-1.73205,3,-1
324,-0.866025,4.5,0
325,-0.866025,5.5,0
326,-0.866025,-0.5,-5
327,-0.866025,0.5,-5
328,-0.866025,0.5,-4
329,-0.866025,1.5,-4
330,-0.866025,1.5,-3
331,-0.866025,2.5,-3
332,-0.866025,2.5,-2
333,-0.866025,3.5,-2
334,-0.866025,3.5,-1
335,-0.866025,4.5,-1
336,-5.19615,-3,0
337,-5.19615,-2,0
338,0,1,-5
339,-5.19615,-1,1
340,0,2,-4
341,0,3,-4
342,0,3,-3
343,0,4,-3
